ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Inflected_Forms
lote1237-1-1_2plsubjectprefix2pl-1,,lote1237-1,1_2plsubjectprefix2pl,a-,a-,a +,verbal prefix; also used for 2sg taboo relations; same form as transitive suffix and edible possessive classifier,Barlow2024,,,^ a - $,default,
lote1237-1-2_ediblepossessiveclassifierpossed-1,,lote1237-1,2_ediblepossessiveclassifierpossed,a-,a-,a +,used in indirect possession constructions; follows the possessor (genitive) and precedes the possessum (possessed); takes a possessive suffix indexing the person/number of the possessor; used somewhat more widely than exclusively with food- and drink-related possessions; same form as transitive suffix and edible possessive classifier,Barlow2024,,,^ a - $,default,"a-k (1sg), a-m (2sg), a-na (3sg), a-ra (1pl.incl)"
lote1237-1-3_transitivesuffixtr-1,,lote1237-1,3_transitivesuffixtr,-a,-a,+ a,verbal suffix; same form as 2pl subject prefix and edible possessive classifier; also /-ia/ and /-ɛ/,Barlow2024,,,^ - a $,default,
lote1237-1-4_treewoodfirewoodstick-1,,lote1237-1,4_treewoodfirewoodstick,ae,ae,a e,,Barlow2024,,,^ a e $,default,
lote1237-1-5_baseofatreetreetrunk-1,,lote1237-1,5_baseofatreetreetrunk,ae hu-,ae hu-,a e + h u +,‘tree base-POSS’,Barlow2024,,,^ a e + h u - $,default,ae hu-na (3sg)
lote1237-1-6_leafofatree-1,,lote1237-1,6_leafofatree,ae i-,ae i-,a e + i +,‘tree leaf-POSS’ < ‘tree nose-POSS’?,Barlow2024,,,^ a e + i - $,default,"ae i-na (3sg), ae i-ria (3pl)"
lote1237-1-7_fruitofatree-1,,lote1237-1,7_fruitofatree,ae ŋanaŋa-,ae ŋanaŋa-,a e + ŋ a n a ŋ a +,‘tree fruit-POSS’,Barlow2024,,,^ a e + ŋ a n a ŋ a - $,default,"ae ŋanaŋa-na (3sg), ae ŋanaŋa-ria (3pl)"
lote1237-1-8_branchofatree-1,,lote1237-1,8_branchofatree,ae pɛr-,ae pɛr-,a e + p ɛ r +,‘tree arm-POSS’,Barlow2024,,,^ a e + p ɛ r - $,default,"ae pɛn-na (3sg), ae pɛr~pɛr-na (plural, 3sg)"
lote1237-1-9_seedofatree-1,,lote1237-1,9_seedofatree,ae tutu-,ae tutu-,a e + t u t u +,‘tree egg-POSS’,Barlow2024,,,^ a e + t u t u - $,default,"ae tutu-na (3sg), ae tutu-ria (3pl)"
lote1237-1-10_rootofatree-1,,lote1237-1,10_rootofatree,ae ula-,ae ula-,a e + u l a +,‘tree root-POSS’,Barlow2024,,,^ a e + u l a - $,default,ae ula-ria (3pl)
lote1237-1-11_barkofatree-1,,lote1237-1,11_barkofatree,ae uli-,ae uli-,a e + u l i +,‘tree skin-POSS’,Barlow2024,,,^ a e + u l i - $,default,"uli-na (3sg), uli-ria (3pl)"
lote1237-1-12_pieceofwood-1,,lote1237-1,12_pieceofwood,ae xor-,ae xor-,a e + x o r +,‘tree piece-POSS’,Barlow2024,,,^ a e + x o r - $,default,"ae xon-na (3sg), ae xor~xor-na (plural, 3sg)"
lote1237-1-13_childrenplural-1,,lote1237-1,13_childrenplural,aina,aina,a i n a,also /tutu-/,Barlow2024,,,^ a i n a $,default,
lote1237-1-14_canoe-1,,lote1237-1,14_canoe,aka,aka,a k a,,Barlow2024,,,^ a k a $,default,
lote1237-1-15_dry-1,,lote1237-1,15_dry,al,al,a l,,Barlow2024,,,^ a l $,default,
lote1237-1-16_thoroughlycompletely-1,,lote1237-1,16_thoroughlycompletely,ala,ala,a l a,,Barlow2024,,,^ a l a $,default,
lote1237-1-17_wormearthworm-1,,lote1237-1,17_wormearthworm,alete,alete,a l e t e,,Barlow2024,,,^ a l e t e $,default,
lote1237-1-18_suckeregofabananaplant-1,,lote1237-1,18_suckeregofabananaplant,alo-,alo-,a l o +,,Barlow2024,,,^ a l o - $,default,"alo-na (3sg), alo-ria (3pl)"
lote1237-1-19_topicmarkertop-1,,lote1237-1,19_topicmarkertop,ana,ana,a n a,,Barlow2024,,,^ a n a $,default,
lote1237-1-20_fourcountinginfoursusedasanadnominalnumeral-1,,lote1237-1,20_fourcountinginfoursusedasanadnominalnumeral,ana lɛisinɛ,ana lɛisinɛ,a n a + l ɛ i s i n ɛ,‘TOP group.of.four’; cf. /lɛisinɛ/ (used as an absolute numeral); /hɛnɛl/ ‘four’ (in general counting),Barlow2024,,,^ a n a + l ɛ i s i n ɛ $,default,
lote1237-1-21_twenty20-1,,lote1237-1,21_twenty20,ana non kina ɛllɛ,ana non kina ɛllɛ,a n a + n o n + k i n a + ɛ lː ɛ,‘TOP man bone-3SG [times] one’,Barlow2024,,,^ a n a + n o n + k i n a + ɛ ll ɛ $,default,
lote1237-1-22_twohundred200-1,,lote1237-1,22_twohundred200,ana non kina iri analox,ana non kina iri analox,a n a + n o n + k i n a + i r i + a n a l o x,‘TOP man bone-3SG [times] 3PL ten’,Barlow2024,,,^ a n a + n o n + k i n a + i r i + a n a l o x $,default,
lote1237-1-23_hundredonehundred100-1,,lote1237-1,23_hundredonehundred100,ana non kina limɛ,ana non kina limɛ,a n a + n o n + k i n a + l i m ɛ,‘TOP man bone-3SG [times] five’,Barlow2024,,,^ a n a + n o n + k i n a + l i m ɛ $,default,
lote1237-1-24_forty40-1,,lote1237-1,24_forty40,ana non kina nai,ana non kina nai,a n a + n o n + k i n a + n a i,‘TOP man bone-3SG [times] two’,Barlow2024,,,^ a n a + n o n + k i n a + n a i $,default,
lote1237-1-25_fifty50-1,,lote1237-1,25_fifty50,ana non kina nai pe analox,ana non kina nai pe analox,a n a + n o n + k i n a + n a i + p e + a n a l o x,‘TOP man bone-3SG [times] two and ten’,Barlow2024,,,^ a n a + n o n + k i n a + n a i + p e + a n a l o x $,default,
lote1237-1-26_ten10-1,,lote1237-1,26_ten10,analox,analox,a n a l o x,possibly < TOP + /loxlox/ ‘all’; cf. /lɛisinɛ nai pe nai/ ‘ten (counting in fours)’,Barlow2024,,,^ a n a l o x $,default,
lote1237-1-27_legfoot-1,,lote1237-1,27_legfoot,ape-,ape-,a p e +,,Barlow2024,,,^ a p e - $,default,"ape-k (1sg), ape-m (2sg), ape-na (3sg)"
lote1237-1-28_foot-1,,lote1237-1,28_foot,ape- hahana,ape- hahana,a p e + + h a h a n a,‘foot-POSS liver-3SG’,Barlow2024,,,^ a p e - + h a h a n a $,default,"ape-k haha-na (1sg), ape-m haha-na (2sg), ape-na haha-na (3sg)"
lote1237-1-29_ashasheswhiteash-1,,lote1237-1,29_ashasheswhiteash,apou,apou,a p o u,cf. /xaxasoŋo/ ‘black ashes’,Barlow2024,,,^ a p o u $,default,
lote1237-1-30_tosit-1,,lote1237-1,30_tosit,are,are,a r e,also /kila/,Barlow2024,,,^ a r e $,default,"are-ŋa (nominalization, ‘chair’)"
lote1237-1-31_chair-1,,lote1237-1,31_chair,areŋa,areŋa,a r e ŋ a,‘sit-NMLZ’,Barlow2024,,,^ a r e ŋ a $,default,
lote1237-1-32_drumtypehanddrumtpkundu-1,,lote1237-1,32_drumtypehanddrumtpkundu,ario,ario,a r i o,,Barlow2024,,,^ a r i o $,default,
lote1237-1-33_tocome-1,,lote1237-1,33_tocome,at,at,a t,,Barlow2024,,,^ a t $,default,at~at (reduplication)
lote1237-1-34_wrongcrazydrunken-1,,lote1237-1,34_wrongcrazydrunken,auaua,auaua,a u a u a,reduplication?,Barlow2024,,,^ a u a u a $,default,
lote1237-1-35_round-1,,lote1237-1,35_round,axouxou,axouxou,a x o u x o u,reduplication?,Barlow2024,,,^ a x o u x o u $,default,
lote1237-1-36_mansmothersbrotherunclemanssisterssonnephewtpkandere-1,,lote1237-1,36_mansmothersbrotherunclemanssisterssonnephewtpkandere,axuŋ,axuŋ,a x u ŋ,,Barlow2024,,,^ a x u ŋ $,default,"lɛ-k axuŋ (1sg), na axuŋ (3sg), nena axuŋ (3sg)"
lote1237-1-37_1sgsubjectprefix1sg-1,,lote1237-1,37_1sgsubjectprefix1sg,e-,e-,e +,verbal prefix; same form as ‘girl’,Barlow2024,,,^ e - $,default,
lote1237-1-38_girl-1,,lote1237-1,38_girl,e,e,e,same form as the 1sg subject prefix,Barlow2024,,,^ e $,default,
lote1237-1-39_shoulder-1,,lote1237-1,39_shoulder,eke-,eke-,e k e +,,Barlow2024,,,^ e k e - $,default,"eke-k (1sg), eke-m (2sg), eke-na (3sg)"
lote1237-1-40_skirtgrassskirtforwomen-1,,lote1237-1,40_skirtgrassskirtforwomen,ela,ela,e l a,"also [hela]; cf. /melo/ ‘skirt, bark loincloth for men (TP: malo)",Barlow2024,,,^ e l a $,default,
lote1237-1-41_paintusedforteethblackening-1,,lote1237-1,41_paintusedforteethblackening,et,et,e t,,Barlow2024,,,^ e t $,default,
lote1237-1-42_tallgingertpgorgor-1,,lote1237-1,42_tallgingertpgorgor,ex,ex,e x,cf. /loitana/ ‘ginger’,Barlow2024,,,^ e x $,default,
lote1237-1-43_bottombelow-1,,lote1237-1,43_bottombelow,ɛ-,ɛ-,ɛ +,"same form as ‘husband’, ‘name’, ‘other’, and transitive suffix; postnominal and with possessive marking can function with the meaning ‘below’",Barlow2024,,,^ ɛ - $,default,ɛ-nɛ (3sg)
lote1237-1-44_husband-1,,lote1237-1,44_husband,ɛ-,ɛ-,ɛ +,"same form as ‘bottom’, ‘name’, ‘other’, and transitive suffix",Barlow2024,,,^ ɛ - $,default,"ɛ-k (1sg), ɛ-m (2sg), ɛ-nɛ (3sg)"
lote1237-1-45_name-1,,lote1237-1,45_name,ɛ-,ɛ-,ɛ +,"same form as ‘bottom’, ‘husband’, ‘other’, and transitive suffix",Barlow2024,,,^ ɛ - $,default,"ɛ-k (1sg), ɛ-m (2sg), ɛ-nɛ (3sg)"
lote1237-1-46_otheranotherone-1,,lote1237-1,46_otheranotherone,ɛ,ɛ,ɛ,"same form as ‘bottom’, ‘husband’, ‘name’, and transitive suffix",Barlow2024,,,^ ɛ $,default,
lote1237-1-3_transitivesuffixtr-2,,lote1237-1,3_transitivesuffixtr,-ɛ,-ɛ,+ ɛ,"verbal suffix; also /-a/ and /-ia/; same form as ‘bottom’, ‘husband’, ‘name’, ‘other’",Barlow2024,,,^ - ɛ $,default,
lote1237-1-47_bitter-1,,lote1237-1,47_bitter,ɛhɛx,ɛhɛx,ɛ h ɛ x,,Barlow2024,,,^ ɛ h ɛ x $,default,
lote1237-1-48_blood-1,,lote1237-1,48_blood,ɛi-,ɛi-,ɛ i +,,Barlow2024,,,^ ɛ i - $,default,"ɛi-k (1sg), ɛi-m (2sg), ɛi-na (3sg)"
lote1237-1-49_breath-1,,lote1237-1,49_breath,ɛiŋa-,ɛiŋa-,ɛ i ŋ a +,also [hɛiŋa-],Barlow2024,,,^ ɛ i ŋ a - $,default,"ɛiŋa-m (2sg), ɛiŋa-na (3sg)"
lote1237-1-50_one1-1,,lote1237-1,50_one1,ɛllɛ,ɛllɛ,ɛ lː ɛ,,Barlow2024,,,^ ɛ ll ɛ $,default,
lote1237-1-51_torub-1,,lote1237-1,51_torub,ɛmu,ɛmu,ɛ m u,"cf. /kira/ ‘to scrub, to brush, to wipe’",Barlow2024,,,^ ɛ m u $,default,ɛmu-ɛ
lote1237-1-52_pandanus-1,,lote1237-1,52_pandanus,ɛrɛ,ɛrɛ,ɛ r ɛ,,Barlow2024,,,^ ɛ r ɛ $,default,
lote1237-1-53_nonegativeresponsewordnotnegatorneg-1,,lote1237-1,53_nonegativeresponsewordnotnegatorneg,ɛro,ɛro,ɛ r o,,Barlow2024,,,^ ɛ r o $,default,
lote1237-1-306_tolooktosee-1,,lote1237-1,306_tolooktosee,ɛs,ɛs,ɛ s,also /nau/,Barlow2024,,,^ ɛ s $,default,ɛs-ia
lote1237-1-54_mother1sg-1,,lote1237-1,54_mother1sg,ɛta-,ɛta-,ɛ t a +,allomorph of /ta-/ ‘mother’ used for 1sg possessor,Barlow2024,,,^ ɛ t a - $,default,ɛta-k (1sg)
lote1237-1-55_toknow-1,,lote1237-1,55_toknow,ɛtei,ɛtei,ɛ t e i,,Barlow2024,,,^ ɛ t e i $,default,ɛtei-a
lote1237-1-56_daycountable-1,,lote1237-1,56_daycountable,ɛtuɛ,ɛtuɛ,ɛ t u ɛ,"cf. /sinaŋa/ ‘day, daytime’",Barlow2024,,,^ ɛ t u ɛ $,default,
lote1237-1-57_waterriver-1,,lote1237-1,57_waterriver,ɛx,ɛx,ɛ x,,Barlow2024,,,^ ɛ x $,default,
lote1237-1-58_lake-1,,lote1237-1,58_lake,ɛx mata-,ɛx mata-,ɛ x + m a t a +,‘water eye-POSS’,Barlow2024,,,^ ɛ x + m a t a - $,default,"ɛx mata-na (3sg), ɛx mata-ria (3pl)"
lote1237-1-59_clam-1,,lote1237-1,59_clam,hae,hae,h a e,same form as ‘thigh’,Barlow2024,,,^ h a e $,default,
lote1237-1-60_thigh-1,,lote1237-1,60_thigh,hae-,hae-,h a e +,same form as ‘clam’,Barlow2024,,,^ h a e - $,default,"hae-k (1sg), hae-m (2sg), hae-na (3sg)"
lote1237-1-61_liver-1,,lote1237-1,61_liver,haha-,haha-,h a h a +,reduplication?,Barlow2024,,,^ h a h a - $,default,"haha-k (1sg), haha-m (2sg), haha-na (3sg)"
lote1237-1-62_toblowofthewindtoclimbtoascendtogouptogrow-1,,lote1237-1,62_toblowofthewindtoclimbtoascendtogouptogrow,haka,haka,h a k a,"also [aka]; cf. /hɛkɛ/ ‘to blow (a fire); to raise (something)’, with which it likely has a relationship; /hurus/ ‘to blow’, /iu/ ‘to blow; to call (for someone), to shout’",Barlow2024,,,^ h a k a $,default,
lote1237-1-63_mouth-1,,lote1237-1,63_mouth,hal-,hal-,h a l +,also [al-],Barlow2024,,,^ h a l - $,default,"hal-ik (1sg), hal-im (2sg), han-na (3sg)"
lote1237-1-64_toyawn-1,,lote1237-1,64_toyawn,hal- paŋpaŋa,hal- paŋpaŋa,h a l + + p a ŋ p a ŋ a,‘mouth-POSS wide’,Barlow2024,,,^ h a l - + p a ŋ p a ŋ a $,default,"hal-im paŋpaŋa (2sg), han-na paŋpaŋa (3sg)"
lote1237-1-65_lip-1,,lote1237-1,65_lip,hal- ulina,hal- ulina,h a l + + u l i n a,‘mouth-POSS skin-3SG’,Barlow2024,,,^ h a l - + u l i n a $,default,"hal-ik uli-na (1sg), hal-im uli-na (2sg), han-na uli-na (3sg), har-ria uli-na (3pl)"
lote1237-1-66_muchmanyalot-1,,lote1237-1,66_muchmanyalot,halaŋ,halaŋ,h a l a ŋ,,Barlow2024,,,^ h a l a ŋ $,default,
lote1237-1-67_sick-1,,lote1237-1,67_sick,haleles,haleles,h a l e l e s,,Barlow2024,,,^ h a l e l e s $,default,
lote1237-1-68_callingyellingshouting-1,,lote1237-1,68_callingyellingshouting,halŋa-,halŋa-,h a l ŋ a +,< /hal-/ ‘mouth’?,Barlow2024,,,^ h a l ŋ a - $,default,"halŋa-m (2sg), halŋa-na (3sg)"
lote1237-1-69_menplural-1,,lote1237-1,69_menplural,hana,hana,h a n a,,Barlow2024,,,^ h a n a $,default,
lote1237-1-70_wetsmellystinky-1,,lote1237-1,70_wetsmellystinky,has,has,h a s,,Barlow2024,,,^ h a s $,default,
lote1237-1-71_table-1,,lote1237-1,71_table,hataŋa,hataŋa,h a t a ŋ a,possibly a nominalized form of something,Barlow2024,,,^ h a t a ŋ a $,default,
lote1237-1-72_thick-1,,lote1237-1,72_thick,hatat,hatat,h a t a t,,Barlow2024,,,^ h a t a t $,default,
lote1237-1-73_spider-1,,lote1237-1,73_spider,hau,hau,h a u,possibly /hau/,Barlow2024,,,^ h a u $,default,
lote1237-1-500_daughter-1,,lote1237-1,500_daughter,heɛ-,heɛ-,h e ɛ +,"also /tu- hɛiŋana/, /tu- neŋe hɛi/",Barlow2024,,,^ h e ɛ - $,default,"heɛ-k (1sg), he-ɛm (2sg), heɛ-nɛ (3sg)"
lote1237-1-74_frog-1,,lote1237-1,74_frog,hehe,hehe,h e h e,reduplication?,Barlow2024,,,^ h e h e $,default,
lote1237-1-75_grass-1,,lote1237-1,75_grass,heilil,heilil,h e i l i l,,Barlow2024,,,^ h e i l i l $,default,
lote1237-1-76_flowerofabananaplant-1,,lote1237-1,76_flowerofabananaplant,heiŋa-,heiŋa-,h e i ŋ a +,,Barlow2024,,,^ h e i ŋ a - $,default,"heiŋa-na (3sg), heiŋa-ria (3pl)"
lote1237-1-77_totalktospeaktosay-1,,lote1237-1,77_totalktospeaktosay,hele,hele,h e l e,,Barlow2024,,,^ h e l e $,default,"hele-ŋa (nominalization, ‘talk, speech’)"
lote1237-1-78_talkspeechtptoktok-1,,lote1237-1,78_talkspeechtptoktok,heleŋa,heleŋa,h e l e ŋ a,‘talk-NMLZ’,Barlow2024,,,^ h e l e ŋ a $,default,
lote1237-1-79_todance-1,,lote1237-1,79_todance,hes,hes,h e s,,Barlow2024,,,^ h e s $,default,
lote1237-1-80_causativeprefixcaus-1,,lote1237-1,80_causativeprefixcaus,hɛ-,hɛ-,h ɛ +,verbal prefix,Barlow2024,,,^ h ɛ - $,default,
lote1237-1-81_womenfemalesplural-1,,lote1237-1,81_womenfemalesplural,hɛhɛi,hɛhɛi,h ɛ h ɛ i,also [hɛiɛ]; reduplicative plural of /hɛi/ ‘woman’,Barlow2024,,,^ h ɛ h ɛ i $,default,
lote1237-1-82_womanfemalewife-1,,lote1237-1,82_womanfemalewife,hɛi,hɛi,h ɛ i,,Barlow2024,,,^ h ɛ i $,default,"hɛi-ŋana (adjective); hɛ~hɛi (plural); lɛ-k hɛi (1sg, ‘my wife’), lɛ-m hɛi (2sg), nɛ hɛi (3sg), na hɛi (3sg)"
lote1237-1-83_oldwoman-1,,lote1237-1,83_oldwoman,hɛi tuaunaŋana,hɛi tuaunaŋana,h ɛ i + t u a u n a ŋ a n a,‘woman old-ADJ’,Barlow2024,,,^ h ɛ i + t u a u n a ŋ a n a $,default,
lote1237-1-84_toblowafiretoraisesomething-1,,lote1237-1,84_toblowafiretoraisesomething,hɛkɛ,hɛkɛ,h ɛ k ɛ,"cf. /haka/ ‘to blow (of the wind); to climb, to ascend, to go up; to grow’, with which it likely has a relationship; /hurus/ ‘to blow’, /iu/ ‘to blow; to call (for someone), to shout’",Barlow2024,,,^ h ɛ k ɛ $,default,
lote1237-1-85_reciprocalsuffixrecpeachotheroneanother-1,,lote1237-1,85_reciprocalsuffixrecpeachotheroneanother,-hɛl,-hɛl,+ h ɛ l,"verbal suffix; same form as ‘some, few’",Barlow2024,,,^ - h ɛ l $,default,
lote1237-1-86_somefew-1,,lote1237-1,86_somefew,hɛl,hɛl,h ɛ l,same form as reciprocal suffix,Barlow2024,,,^ h ɛ l $,default,
lote1237-1-87_tobreakinpieces-1,,lote1237-1,87_tobreakinpieces,hɛlɛ,hɛlɛ,h ɛ l ɛ,"possibly /hɛl-ɛ/; cf. /hɛl/ ‘some, few’; cf. /xolo/ ‘to break (with the hand)’, /xax/ ‘to break, to rip’",Barlow2024,,,^ h ɛ l ɛ $,default,
lote1237-1-88_toturn-1,,lote1237-1,88_toturn,hɛliliu,hɛliliu,h ɛ l i l i u,"possibly contains the causative prefix /hɛ-/; cf. /hul/ ‘to turn over, to capsize’",Barlow2024,,,^ h ɛ l i l i u $,default,hɛliliu-a
lote1237-1-89_four4-1,,lote1237-1,89_four4,hɛnɛl,hɛnɛl,h ɛ n ɛ l,cf. /lɛisinɛ/ ~ /ana lɛisinɛ/ ‘four (counting in fours)’,Barlow2024,,,^ h ɛ n ɛ l $,default,
lote1237-1-90_topointouttochoosetoselect-1,,lote1237-1,90_topointouttochoosetoselect,hɛnonou,hɛnonou,h ɛ n o n o u,"possibly contains the causative prefix /hɛ-/; possibly derives from reduplication/infixation of /no-/ (cf. /hɛnou/ ‘pointer finger’); cf. /hɛsilɛi/ ‘to choose, to pick’",Barlow2024,,,^ h ɛ n o n o u $,default,hɛnonou-a
lote1237-1-91_pointerfingerindexfingerforefinger-1,,lote1237-1,91_pointerfingerindexfingerforefinger,hɛnou,hɛnou,h ɛ n o u,,Barlow2024,,,^ h ɛ n o u $,default,
lote1237-1-92_mountaintempleofthehead-1,,lote1237-1,92_mountaintempleofthehead,hɛŋɛnɛ,hɛŋɛnɛ,h ɛ ŋ ɛ n ɛ,"cf. /it/ ‘highlands, mountain’",Barlow2024,,,^ h ɛ ŋ ɛ n ɛ $,default,
lote1237-1-93_tongue-1,,lote1237-1,93_tongue,hɛŋɛtau,hɛŋɛtau,h ɛ ŋ ɛ t a u,also [ɛŋɛtau],Barlow2024,,,^ h ɛ ŋ ɛ t a u $,default,"a-k hɛŋɛtau (1sg), a-m hɛŋɛtau (2sg), a-na hɛŋɛtau (3sg)"
lote1237-1-94_toplay-1,,lote1237-1,94_toplay,hɛsalaŋ,hɛsalaŋ,h ɛ s a l a ŋ,possibly contains the causative prefix /hɛ-/,Barlow2024,,,^ h ɛ s a l a ŋ $,default,
lote1237-1-95_tochoosetopick-1,,lote1237-1,95_tochoosetopick,hɛsilɛi,hɛsilɛi,h ɛ s i l ɛ i,"possibly contains the causative prefix /hɛ-/; cf. /hɛnonou/ ‘to point out; to choose, to select’",Barlow2024,,,^ h ɛ s i l ɛ i $,default,
lote1237-1-96_yearcustomarydance-1,,lote1237-1,96_yearcustomarydance,hɛsiŋa,hɛsiŋa,h ɛ s i ŋ a,possibly contains the causative prefix /hɛ-/; possibly related to /hes/ ‘to dance’,Barlow2024,,,^ h ɛ s i ŋ a $,default,
lote1237-1-97_toshow-1,,lote1237-1,97_toshow,hɛteia,hɛteia,h ɛ t e i a,"possibly contains the causative prefix /hɛ-/; cf. /ɛtei/ ‘to know’ (i.e., ‘to make know’)",Barlow2024,,,^ h ɛ t e i a $,default,
lote1237-1-98_todaynow-1,,lote1237-1,98_todaynow,hɛuɛu,hɛuɛu,h ɛ u ɛ u,reduplication?,Barlow2024,,,^ h ɛ u ɛ u $,default,
lote1237-1-99_new-1,,lote1237-1,99_new,hɛuɛuŋana,hɛuɛuŋana,h ɛ u ɛ u ŋ a n a,‘now-ADJ’,Barlow2024,,,^ h ɛ u ɛ u ŋ a n a $,default,
lote1237-1-100_howmany-1,,lote1237-1,100_howmany,hia,hia,h i a,also [ia],Barlow2024,,,^ h i a $,default,
lote1237-1-101_toblocktotie-1,,lote1237-1,101_toblocktotie,hit,hit,h i t,"cf. /kale/ ‘to tie, to fasten’, /kale hit/ ‘to tie up’, /tom/ ‘to fix, to tie’, /tom hit/ ‘to tie up’",Barlow2024,,,^ h i t $,default,hit-ɛ
lote1237-1-102_tail-1,,lote1237-1,102_tail,hoe-,hoe-,h o e +,also [oe-],Barlow2024,,,^ h o e - $,default,"hoe-na (3sg), hoe-ria (3pl)"
lote1237-1-103_leftnotright-1,,lote1237-1,103_leftnotright,hoihoi,hoihoi,h o i h o i,reduplication?,Barlow2024,,,^ h o i h o i $,default,
lote1237-1-104_outtogoouttotakeouttoremove-1,,lote1237-1,104_outtogoouttotakeouttoremove,hot,hot,h o t,,Barlow2024,,,^ h o t $,default,hot-ɛ
lote1237-1-105_coldsickness-1,,lote1237-1,105_coldsickness,houhou,houhou,h o u h o u,also [ouou]; reduplication?,Barlow2024,,,^ h o u h o u $,default,
lote1237-1-106_baseofatree-1,,lote1237-1,106_baseofatree,hu-,hu-,h u +,,Barlow2024,,,^ h u - $,default,hu-na (3sg)
lote1237-1-107_toturnovertocapsize-1,,lote1237-1,107_toturnovertocapsize,hul,hul,h u l,cf. /hɛliliu/ ‘to turn’,Barlow2024,,,^ h u l $,default,hul-ia
lote1237-1-108_bandicoot-1,,lote1237-1,108_bandicoot,huloŋ,huloŋ,h u l o ŋ,,Barlow2024,,,^ h u l o ŋ $,default,
lote1237-1-109_tokilltobite-1,,lote1237-1,109_tokilltobite,hun,hun,h u n,,Barlow2024,,,^ h u n $,default,hun-ɛ
lote1237-1-110_animalmeat-1,,lote1237-1,110_animalmeat,huros,huros,h u r o s,also [uros],Barlow2024,,,^ h u r o s $,default,
lote1237-1-111_toblow-1,,lote1237-1,111_toblow,hurus,hurus,h u r u s,"cf. /hɛkɛ/ ‘to blow (a fire); to raise (something)’, /haka/ ‘to blow (of the wind); to climb, to ascend, to go up; to grow’, /iu/ ‘to blow; to call (for someone), to shout’",Barlow2024,,,^ h u r u s $,default,hurus-ia
lote1237-1-112_white-1,,lote1237-1,112_white,husu,husu,h u s u,,Barlow2024,,,^ h u s u $,default,
lote1237-1-113_3sgpronounhehimsheherit-1,,lote1237-1,113_3sgpronounhehimsheherit,i,i,i,"same form as ‘to walk’, ‘leaf; hair’, ‘nose’",Barlow2024,,,^ i $,default,
lote1237-1-114_leafhairofthehead-1,,lote1237-1,114_leafhairofthehead,i-,i-,i +,"same form as ‘to walk’, ‘nose’, and the 3sg pronoun; possibly a metaphorical extension of /i-/ ‘nose’; cf. /pulpul-/ ‘hair (body hair); feather’",Barlow2024,,,^ i - $,default,"i-na (3sg), i-ria (3pl)"
